2021年10月21日16时40分34秒	JJparents-6  执行步骤:获取进入场
2021年10月21日16时40分34秒	JJparents-6  执行步骤:更新昵称
2021年10月21日16时40分34秒	JJparents-6  执行步骤:  更新金币数
2021年10月21日16时40分34秒	JJparents-6  执行步骤:进入极速二麻自由桌界面
2021年10月21日16时40分34秒	JJparents-6  执行步骤:  询问是否继续打二麻
2021年10月21日16时40分33秒	JJparents-4  执行步骤:点开报名界面
2021年10月21日16时40分33秒	JJparents-4  执行步骤:获取进入场
2021年10月21日16时40分33秒	JJparents-4  执行步骤:更新昵称
2021年10月21日16时40分33秒	JJparents-4  执行步骤:  更新金币数
2021年10月21日16时40分33秒	JJparents-4  执行步骤:进入极速二麻自由桌界面
2021年10月21日16时40分33秒	JJparents-4  执行步骤:  询问是否继续打二麻
2021年10月21日16时40分30秒	JJparents-6  执行步骤:  返回自由桌界面
2021年10月21日16时40分29秒	JJparents-4  执行步骤:  返回自由桌界面
2021年10月21日16时40分26秒	JJparents-2  执行步骤:  等待报名
2021年10月21日16时40分25秒	JJparents-8  执行步骤:  进入游戏获取对局ID
2021年10月21日16时40分25秒	JJparents-3  执行步骤:  进入游戏获取对局ID
2021年10月21日16时40分23秒	JJparents-2  执行步骤:点开报名界面
2021年10月21日16时40分23秒	JJparents-2  执行步骤:获取进入场
2021年10月21日16时40分23秒	JJparents-2  执行步骤:更新昵称
2021年10月21日16时40分23秒	JJparents-2  执行步骤:  更新金币数
2021年10月21日16时40分22秒	JJparents-5  执行步骤:  进入游戏获取对局ID
2021年10月21日16时40分22秒	JJparents-10  执行步骤:  进入游戏获取对局ID
2021年10月21日16时40分22秒	JJparents-1  执行步骤:  进入游戏获取对局ID
2021年10月21日16时40分22秒	JJparents-7  执行步骤:  进入游戏获取对局ID
2021年10月21日16时40分22秒	JJparents-9  执行步骤:  进入游戏获取对局ID
2021年10月21日16时40分16秒	JJparents-3  执行步骤:  3秒后开始报名
2021年10月21日16时40分16秒	JJparents-3  执行步骤:  等待报名
2021年10月21日16时40分15秒	JJparents-8  执行步骤:  3秒后开始报名
2021年10月21日16时40分15秒	JJparents-8  执行步骤:  等待报名
2021年10月21日16时40分15秒	JJparents-5  执行步骤:  3秒后开始报名
2021年10月21日16时40分14秒	JJparents-10  执行步骤:  3秒后开始报名
2021年10月21日16时40分14秒	JJparents-7  执行步骤:  3秒后开始报名
2021年10月21日16时40分14秒	JJparents-9  执行步骤:  3秒后开始报名
2021年10月21日16时40分14秒	JJparents-1  执行步骤:  3秒后开始报名
2021年10月21日16时40分14秒	JJparents-5  执行步骤:  等待报名
2021年10月21日16时40分13秒	JJparents-3  执行步骤:点开报名界面
2021年10月21日16时40分13秒	JJparents-3  执行步骤:获取进入场
2021年10月21日16时40分13秒	JJparents-3  执行步骤:更新昵称
2021年10月21日16时40分13秒	JJparents-3  执行步骤:  更新金币数
2021年10月21日16时40分13秒	JJparents-8  执行步骤:点开报名界面
2021年10月21日16时40分13秒	JJparents-8  执行步骤:获取进入场
2021年10月21日16时40分12秒	JJparents-8  执行步骤:更新昵称
2021年10月21日16时40分12秒	JJparents-8  执行步骤:  更新金币数
2021年10月21日16时40分12秒	JJparents-5  执行步骤:点开报名界面
2021年10月21日16时40分12秒	JJparents-8  执行步骤:进入极速二麻自由桌界面
2021年10月21日16时40分12秒	JJparents-5  执行步骤:获取进入场
2021年10月21日16时40分12秒	JJparents-8  执行步骤:  询问是否继续打二麻
2021年10月21日16时40分12秒	JJparents-5  执行步骤:更新昵称
2021年10月21日16时40分12秒	JJparents-5  执行步骤:  更新金币数
2021年10月21日16时40分12秒	JJparents-5  执行步骤:进入极速二麻自由桌界面
2021年10月21日16时40分12秒	JJparents-5  执行步骤:  询问是否继续打二麻
2021年10月21日16时40分9秒	JJparents-8  执行步骤:  返回自由桌界面
2021年10月21日16时40分8秒	JJparents-5  执行步骤:  返回自由桌界面
2021年10月21日16时40分2秒	JJparents-2  执行步骤:进入极速二麻自由桌界面
2021年10月21日16时40分1秒	JJparents-2  执行步骤:登录结果:登录成功
2021年10月21日16时39分58秒	JJparents-3  执行步骤:进入极速二麻自由桌界面
2021年10月21日16时39分57秒	JJparents-3  执行步骤:登录JJ斗地主
2021年10月21日16时39分56秒	JJparents-7  执行步骤:  等待报名
2021年10月21日16时39分55秒	JJparents-1  执行步骤:  等待报名
2021年10月21日16时39分54秒	JJparents-7  执行步骤:点开报名界面
2021年10月21日16时39分54秒	JJparents-7  执行步骤:获取进入场
2021年10月21日16时39分54秒	JJparents-7  执行步骤:更新昵称
2021年10月21日16时39分54秒	JJparents-7  执行步骤:  更新金币数
2021年10月21日16时39分53秒	JJparents-7  执行步骤:进入极速二麻自由桌界面
2021年10月21日16时39分53秒	JJparents-7  执行步骤:  询问是否继续打二麻
2021年10月21日16时39分53秒	JJparents-1  执行步骤:点开报名界面
2021年10月21日16时39分53秒	JJparents-1  执行步骤:获取进入场
2021年10月21日16时39分53秒	JJparents-1  执行步骤:更新昵称
2021年10月21日16时39分53秒	JJparents-1  执行步骤:  更新金币数
2021年10月21日16时39分53秒	JJparents-1  执行步骤:进入极速二麻自由桌界面
2021年10月21日16时39分53秒	JJparents-1  执行步骤:  询问是否继续打二麻
2021年10月21日16时39分50秒	JJparents-7  执行步骤:  返回自由桌界面
2021年10月21日16时39分49秒	JJparents-1  执行步骤:  返回自由桌界面
2021年10月21日16时39分49秒	JJparents-9  执行步骤:  等待报名
2021年10月21日16时39分47秒	JJparents-9  执行步骤:点开报名界面
2021年10月21日16时39分47秒	JJparents-9  执行步骤:获取进入场
2021年10月21日16时39分47秒	JJparents-9  执行步骤:更新昵称
2021年10月21日16时39分47秒	JJparents-9  执行步骤:  更新金币数
2021年10月21日16时39分47秒	JJparents-9  执行步骤:进入极速二麻自由桌界面
2021年10月21日16时39分46秒	JJparents-9  执行步骤:  询问是否继续打二麻
2021年10月21日16时39分43秒	JJparents-9  执行步骤:  返回自由桌界面
2021年10月21日16时39分27秒	JJparents-3  执行步骤:运行JJ斗地主app
2021年10月21日16时39分26秒	JJparents-3  执行步骤:绑定模拟器
